Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
SpaceX,"SLC-4E, Vandenberg SFB, CA",Feb 25 2026 14:12 UTC,Starlink Group 17-26,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Feb 24 2026 23:04 UTC,Starlink Group 6-110,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Feb 21 2026 13:42 UTC,Starlink Group 11-5,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang Satellite Launch Center, China",Feb 21 2026 09:30 UTC,Geely-03 Group 01,Long March 2C,StatusActive,30.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Feb 19 2026 10:48 UTC,Starlink Group 6-109,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Feb 16 2026 05:25 UTC,Starlink Group 6-108,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Feb 14 2026 18:08 UTC,Starshield (NRO),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL",Feb 13 2026 21:00 UTC,Crew-10 (ISS),Falcon 9 Block 5,StatusActive,145.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Feb 11 2026 04:30 UTC,Starlink Group 17-23,Falcon 9 Block 5,StatusActive,52.0,Success
Arianespace,"Guiana Space Centre, French Guiana",Feb 12 2026 16:45 UTC,Amazon Kuiper LEO,Ariane 64,StatusActive,120.0,Success
ULA,"SLC-41, Cape Canaveral SFS, FL",Feb 12 2026 09:22 UTC,USSF-87 (GSSAP),Vulcan VC4S,StatusActive,120.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Feb 07 2026 12:15 UTC,Starlink Group 17-21,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Feb 02 2026 09:10 UTC,Starlink Group 17-20,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Jan 30 2026 06:12 UTC,Starlink Group 10-13,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan Satellite Launch Center, China",Jan 30 2026 03:00 UTC,AlSat 3B,Long March 2C,StatusActive,25.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Jan 29 2026 21:40 UTC,Starlink Group 17-19,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Pad B, Rocket Lab LC-1, Mahia, NZ",Jan 29 2026 18:20 UTC,NEONSAT-1A,Electron,StatusActive,7.5,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Jan 27 2026 13:10 UTC,GPS-3 SV09,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Jan 25 2026 17:30 UTC,Starlink Group 17-18,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Pad B, Rocket Lab LC-1, Mahia, NZ",Jan 22 2026 10:52 UTC,The Cosmos Will See You Now,Electron,StatusActive,7.5,Success
Blue Origin,"Van Horn, TX, USA",Jan 22 2026 16:25 UTC,NS-38 (Suborbital),New Shepard,StatusActive,1.25,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Jan 21 2026 05:47 UTC,Starlink Group 17-30,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang Launch Site, China",Jan 18 2026 23:48 UTC,WHWD 19,Long March 12,StatusActive,45.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Jan 18 2026 23:31 UTC,Starlink Group 6-100,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Jan 17 2026 04:18 UTC,NROL-105 (Starshield),Falcon 9 Block 5,StatusActive,62.0,Success
Galactic Energy,"Jiuquan Satellite Launch Center, China",Jan 16 2026 20:08 UTC,Ceres-2 Maiden Flight,Ceres-2,StatusActive,15.0,Failure
CASC,"Xichang Satellite Launch Center, China",Jan 16 2026 08:55 UTC,Shijian 32,Long March 3B/E,StatusActive,50.0,Failure
Galactic Energy,"Yellow Sea Platform",Jan 15 2026 12:10 UTC,Tianqi 37-40,Ceres-1S,StatusActive,4.0,Success
CASC,"Jiuquan Satellite Launch Center, China",Jan 14 2026 20:01 UTC,AlSat 3A,Long March 2C,StatusActive,25.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Jan 14 2026 10:08 UTC,Starlink Group 6-98,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang Launch Site, China",Jan 13 2026 07:25 UTC,SatNet LEO Group 18,Long March 8A,StatusActive,40.0,Success
CASC,"Taiyuan Satellite Launch Center, China",Jan 13 2026 06:16 UTC,Yaogan 50-01,Long March 6A,StatusActive,35.0,Success
ISRO,"Satish Dhawan Space Centre, India",Jan 11 2026 20:48 UTC,EOS-N1,PSLV-DL,StatusActive,28.0,Failure
SpaceX,"SLC-4E, Vandenberg SFB, CA",Jan 11 2026 13:44 UTC,Pandora / Twilight,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Jan 09 2026 21:41 UTC,Starlink Group 6-96,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, FL",Jan 04 2026 06:48 UTC,Starlink Group 6-88,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"SLC-4E, Vandenberg SFB, CA",Jan 03 2026 02:09 UTC,CSG-3,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Wenchang, China",Dec 31 2025 06:15 UTC,Technology Demo Satellites,Long March 7A,StatusActive,65.0,Success
CASC,"Xichang, China",Dec 30 2025 18:30 UTC,Shijian 29 A-B,Long March 3B,StatusActive,50.0,Success
CASC,"Jiuquan, China",Dec 30 2025 04:00 UTC,Tianhui 7,Long March 2D,StatusActive,29.7,Success
VKS,"Plesetsk, Russia",Dec 28 2025 11:30 UTC,AIST-2T no. 01 & 02,Soyuz 2.1b,StatusActive,48.5,Success
CASC,"Jiuquan, China",Dec 26 2025 04:15 UTC,Fengyun-4C,Long March 4C,StatusActive,32.0,Success
CASC,"Taiyuan, China",Dec 25 2025 03:00 UTC,SatNet LEO Group 17,Long March 6A,StatusActive,40.0,Success
Roscosmos,"Vostochny, Russia",Dec 25 2025 06:40 UTC,Obzor-R no. 01,Soyuz 2.1b,StatusActive,48.5,Success
AST SpaceMobile,"Cape Canaveral, USA",Dec 24 2025 15:45 UTC,BlueBird 6,Falcon 9 Block 5,StatusActive,62.0,Success
